Name	Link
Nicol\xc3\xa1s Dom\xc3\xadnguez	/en/players/20b3a502/Nicolas-Dominguez
Jamie Donley	/en/players/5e4d9b48/Jamie-Donley
Gabriel Dos Santos	/en/players/67ac5bb8/Gabriel-Dos-Santos
Abdoulaye Doucour\xc3\xa9	/en/players/02b29014/Abdoulaye-Doucoure
Cheick Doucour\xc3\xa9	/en/players/ce4f40c7/Cheick-Doucoure
Alfie Doughty	/en/players/bf33b257/Alfie-Doughty
Tommy Doyle	/en/players/5526deb1/Tommy-Doyle
Martin D\xc3\xbabravka	/en/players/3a949a25/Martin-Dubravka
Paul Dummett	/en/players/3fe6bd8c/Paul-Dummett
Lewis Dunk	/en/players/282f75f3/Lewis-Dunk
Jhon Dur\xc3\xa1n	/en/players/414184f7/Jhon-Duran
Ederson	/en/players/3bb7b8b4/Ederson
Odsonne \xc3\x89douard	/en/players/0562b7f1/Odsonne-Edouard
John Egan	/en/players/debe38a0/John-Egan
Hjalmar Ekdal	/en/players/3d554589/Hjalmar-Ekdal
Anthony Elanga	/en/players/2fba6108/Anthony-Elanga
Harvey Elliott	/en/players/b9e1436c/Harvey-Elliott
Mohamed Elneny	/en/players/47a34c4f/Mohamed-Elneny
Emerson	/en/players/df8b52a5/Emerson
Wataru Endo	/en/players/c149016b/Wataru-Endo
Christian Eriksen	/en/players/980522ec/Christian-Eriksen
Pervis Estupi\xc3\xb1\xc3\xa1n	/en/players/d38fdf53/Pervis-Estupinan
Jonny Evans	/en/players/f8fcd2a5/Jonny-Evans
Eberechi Eze	/en/players/ae4fc6a4/Eberechi-Eze
\xc5\x81ukasz Fabia\xc5\x84ski	/en/players/9328b835/Lukasz-Fabianski
Ansu Fati	/en/players/0ba976e4/Ansu-Fati
Felipe	/en/players/51a3c4c8/Felipe
Evan Ferguson	/en/players/4596da74/Evan-Ferguson
Bruno Fernandes	/en/players/507c7bdf/Bruno-Fernandes
Enzo Fern\xc3\xa1ndez	/en/players/5ff4ab71/Enzo-Fernandez
John Fleck	/en/players/b63e789d/John-Fleck
Mark Flekken	/en/players/a92ab7be/Mark-Flekken
Phil Foden	/en/players/ed1e53f3/Phil-Foden
Wes Foderingham	/en/players/96cf7b61/Wes-Foderingham
Pablo Fornals	/en/players/82927de4/Pablo-Fornals
Lyle Foster	/en/players/f84a807c/Lyle-Foster
Matheus Fran\xc3\xa7a	/en/players/077faf72/Matheus-Franca
Cody Gakpo	/en/players/1971591f/Cody-Gakpo
Conor Gallagher	/en/players/c2731c10/Conor-Gallagher
Idrissa Gana Gueye	/en/players/72c812f3/Idrissa-Gana-Gueye
Alejandro Garnacho	/en/players/7aa8adfe/Alejandro-Garnacho
James Garner	/en/players/4e015693/James-Garner
Saman Ghoddos	/en/players/f7b1d4e0/Saman-Ghoddos
Morgan Gibbs-White	/en/players/32f60ed8/Morgan-Gibbs-White
Bryan Gil	/en/players/7b5ab7f2/Bryan-Gil
Billy Gilmour	/en/players/df10e27c/Billy-Gilmour
Ben Godfrey	/en/players/9f7c837d/Ben-Godfrey
Jo\xc3\xa3o Gomes	/en/players/8b57ad2c/Joao-Gomes
Toti Gomes	/en/players/f0caab96/Toti-Gomes
Joe Gomez	/en/players/7a11550b/Joe-Gomez
Sergio G\xc3\xb3mez	/en/players/01e5f06e/Sergio-Gomez
Anthony Gordon	/en/players/2bd83368/Anthony-Gordon
Ryan Gravenberch	/en/players/b8e740fb/Ryan-Gravenberch
Jack Grealish	/en/players/b0b4fd3e/Jack-Grealish
Pascal Gro\xc3\x9f	/en/players/8aec0537/Pascal-Gross
Marc Gu\xc3\xa9hi	/en/players/d0706b27/Marc-Guehi
Bruno Guimar\xc3\xa3es	/en/players/82518f62/Bruno-Guimaraes
Malo Gusto	/en/players/d56b9520/Malo-Gusto
Jo\xc5\xa1ko Gvardiol	/en/players/5ad50391/Josko-Gvardiol
Erling Haaland	/en/players/1f44ac21/Erling-Haaland
Antwoine Hackford	/en/players/a7588cdc/Antwoine-Hackford
Lewis Hall	/en/players/da011f18/Lewis-Hall
Gustavo Hamer	/en/players/eebacc07/Gustavo-Hamer
Luke Harris	/en/players/8c3078cd/Luke-Harris
Jack Harrison	/en/players/aa849a12/Jack-Harrison
Kai Havertz	/en/players/fed7cb61/Kai-Havertz
Jan Paul van Hecke	/en/players/4fd08daa/Jan-Paul-van-Hecke
Hwang Hee-chan	/en/players/169fd162/Hwang-Hee-chan
Rico Henry	/en/players/8a3c1dc7/Rico-Henry
Son Heung-min	/en/players/92e7e919/Son-Heung-min
Aaron Hickey	/en/players/1780bb4a/Aaron-Hickey
James Hill	/en/players/69942fb3/James-Hill
Jack Hinshelwood	/en/players/e98211e7/Jack-Hinshelwood
Callum Hudson-Odoi	/en/players/15f3ec41/Callum-Hudson-Odoi
Will Hughes	/en/players/a0666d3e/Will-Hughes
Pierre H\xc3\xb8jbjerg	/en/players/8b04d6c1/Pierre-Hojbjerg
Rasmus H\xc3\xb8jlund	/en/players/491a433d/Rasmus-Hojlund
Igor	/en/players/a4e85758/Igor
Danny Ings	/en/players/07802f7f/Danny-Ings
Alexander Isak	/en/players/8e92be30/Alexander-Isak
Alex Iwobi	/en/players/6ca5ec4b/Alex-Iwobi
Alex Iwobi	/en/players/6ca5ec4b/Alex-Iwobi
Nicolas Jackson	/en/players/9c36ed83/Nicolas-Jackson
Reece James	/en/players/1265a93a/Reece-James
Vitaly Janelt	/en/players/8449d35e/Vitaly-Janelt
Mathias Jensen	/en/players/0f134faf/Mathias-Jensen
Gabriel Jesus	/en/players/b66315ae/Gabriel-Jesus
Ra\xc3\xbal Jim\xc3\xa9nez	/en/players/b561db50/Raul-Jimenez
Jo\xc3\xa3o Pedro	/en/players/e8832875/Joao-Pedro
Joelinton	/en/players/c17bfb65/Joelinton
Ryan John Giles	/en/players/73b1d65b/Ryan-John-Giles
Brennan Johnson	/en/players/0cd31129/Brennan-Johnson
Brennan Johnson	/en/players/0cd31129/Brennan-Johnson
Sam Johnstone	/en/players/9e5708be/Sam-Johnstone
Curtis Jones	/en/players/4fb9c88f/Curtis-Jones
Jorginho	/en/players/45db685d/Jorginho
Diogo Jota	/en/players/178ae8f8/Diogo-Jota
Mads Juel Andersen	/en/players/f098c03e/Mads-Juel-Andersen
Hamed Junior Traor\xc3\xa8	/en/players/570bb4b9/Hamed-Junior-Traore
Mathias J\xc3\xb8rgensen	/en/players/0db5d2c8/Mathias-Jorgensen
Issa Kabor\xc3\xa9	/en/players/c066d1a5/Issa-Kabore
Sasa Kalajdzic	/en/players/15f24fe7/Sasa-Kalajdzic
Boubacar Kamara	/en/players/cc77354e/Boubacar-Kamara
Thomas Kaminski	/en/players/1caa93a5/Thomas-Kaminski
Michael Keane	/en/players/c5b7c315/Michael-Keane
Thilo Kehrer	/en/players/51dbeea9/Thilo-Kehrer
Caoimh\xc3\xadn Kelleher	/en/players/62d7ef38/Caoimhin-Kelleher
Lloyd Kelly	/en/players/f31def1e/Lloyd-Kelly
Milos Kerkez	/en/players/0ad53bdc/Milos-Kerkez
Max Kilman	/en/players/d0f72bf1/Max-Kilman
Jakub Kiwior	/en/players/dc3e663e/Jakub-Kiwior
Justin Kluivert	/en/players/4c3a6744/Justin-Kluivert
Luca Koleosho	/en/players/fc076f78/Luca-Koleosho
Ibrahima Konat\xc3\xa9	/en/players/5ed9b537/Ibrahima-Konate
Ezri Konsa	/en/players/0313a347/Ezri-Konsa
Cheikhou Kouyat\xc3\xa9	/en/players/8d3c902d/Cheikhou-Kouyate
Mateo Kova\xc4\x8di\xc4\x87	/en/players/79c0821a/Mateo-Kovacic
Emil Krafth	/en/players/77cf6852/Emil-Krafth
Dejan Kulusevski	/en/players/df3cda47/Dejan-Kulusevski
Adam Lallana	/en/players/99813635/Adam-Lallana
Tariq Lamptey	/en/players/f4e433d4/Tariq-Lamptey
Aymeric Laporte	/en/players/119b9a8e/Aymeric-Laporte
Yasser Larouci	/en/players/0ed063d6/Yasser-Larouci
Jamaal Lascelles	/en/players/450ab6fc/Jamaal-Lascelles
Mario Lemina	/en/players/2b471f99/Mario-Lemina
Bernd Leno	/en/players/2628fd2b/Bernd-Leno
Jefferson Lerma	/en/players/9b5ce51a/Jefferson-Lerma
Rico Lewis	/en/players/b57e066e/Rico-Lewis
Keane Lewis-Potter	/en/players/41f08ac8/Keane-Lewis-Potter
Victor Lindel\xc3\xb6f	/en/players/f5deef4c/Victor-Lindelof
Valentino Livramento	/en/players/afed6722/Valentino-Livramento
Giovani Lo Celso	/en/players/d7553721/Giovani-Lo-Celso
Tom Lockyer	/en/players/37118440/Tom-Lockyer
Sean Longstaff	/en/players/a2b105e0/Sean-Longstaff
Max Lowe	/en/players/7af88b33/Max-Lowe
Douglas Luiz	/en/players/6f7d826d/Douglas-Luiz
Sa\xc5\xa1a Luki\xc4\x87	/en/players/c6e8cf1f/Sasa-Lukic
Ian Maatsen	/en/players/cab9634e/Ian-Maatsen
Alexis Mac Allister	/en/players/83d074ff/Alexis-Mac-Allister
James Maddison	/en/players/ee38d9c5/James-Maddison
Noni Madueke	/en/players/bf34eebd/Noni-Madueke
Harry Maguire	/en/players/d8931174/Harry-Maguire
Kobbie Mainoo	/en/players/c6220452/Kobbie-Mainoo
Orel Mangala	/en/players/a572e291/Orel-Mangala
Benson Manuel	/en/players/d7f99582/Benson-Manuel
Solly March	/en/players/bb5fbd2b/Solly-March
Anthony Martial	/en/players/8b788c01/Anthony-Martial
Gabriel Martinelli	/en/players/48a5a5d6/Gabriel-Martinelli
Emiliano Mart\xc3\xadnez	/en/players/7956236f/Emiliano-Martinez
Lisandro Mart\xc3\xadnez	/en/players/bac46a10/Lisandro-Martinez
Pape Matar Sarr	/en/players/feb5d972/Pape-Matar-Sarr
Jean-Philippe Mateta	/en/players/50e6dc35/Jean-Philippe-Mateta
Jo\xc3\xabl Matip	/en/players/b217ef29/Joel-Matip
Alex Matos	/en/players/ed383e43/Alex-Matos
Remi Matthews	/en/players/27f4f772/Remi-Matthews
Neal Maupay	/en/players/4bcf39f6/Neal-Maupay
Neal Maupay	/en/players/4bcf39f6/Neal-Maupay
Konstantinos Mavropanos	/en/players/00963611/Konstantinos-Mavropanos
Bryan Mbeumo	/en/players/6afaebf2/Bryan-Mbeumo
James Mcatee	/en/players/96593e89/James-Mcatee
James Mcatee	/en/players/96593e89/James-Mcatee
Oliver McBurnie	/en/players/78b8ac63/Oliver-McBurnie
James McConnell	/en/players/bf973eeb/James-McConnell
John McGinn	/en/players/90f91999/John-McGinn
Scott McKenna	/en/players/4e5a4cbc/Scott-McKenna
Dwight McNeil	/en/players/fc15fb84/Dwight-McNeil
Scott McTominay	/en/players/d93c2511/Scott-McTominay
Ben Mee	/en/players/8df7a2fb/Ben-Mee
Hannibal Mejbri	/en/players/ca22ccb0/Hannibal-Mejbri
Teden Mengi	/en/players/91748070/Teden-Mengi
Chris Mepham	/en/players/fed96827/Chris-Mepham
Lewis Miley	/en/players/2c6835e5/Lewis-Miley
James Milner	/en/players/2f90f6b8/James-Milner
Tyrone Mings	/en/players/8397a50c/Tyrone-Mings
Tyrick Mitchell	/en/players/5cbd1eb0/Tyrick-Mitchell
Kaoru Mitoma	/en/players/74618572/Kaoru-Mitoma
Aleksandar Mitrovi\xc4\x87	/en/players/3925dbd6/Aleksandar-Mitrovic
Jakub Moder	/en/players/f230bc30/Jakub-Moder
Kudus Mohammed	/en/players/b62878a5/Kudus-Mohammed
Gonzalo Montiel	/en/players/374d5158/Gonzalo-Montiel
Kieffer Moore	/en/players/01ce9e70/Kieffer-Moore
\xc3\x81lex Moreno	/en/players/16e9d0ea/Alex-Moreno
Carlton Morris	/en/players/2da834f1/Carlton-Morris
Mason Mount	/en/players/9674002f/Mason-Mount
Divin Mubama	/en/players/92868cb5/Divin-Mubama
Mykhailo Mudryk	/en/players/049a888d/Mykhailo-Mudryk
Rodrigo Muniz	/en/players/a755db8c/Rodrigo-Muniz
Murillo	/en/players/1704b0b8/Murillo
Alex Murphy	/en/players/f1c42eb3/Alex-Murphy
Jacob Murphy	/en/players/de112b84/Jacob-Murphy
Vitaliy Mykolenko	/en/players/30d4a2e5/Vitaliy-Mykolenko
Marvelous Nakamba	/en/players/de5b5570/Marvelous-Nakamba
Michael Ndiweni	/en/players/8aff2b51/Michael-Ndiweni
Reiss Nelson	/en/players/c5bdb6e3/Reiss-Nelson
Neto	/en/players/a9dc785c/Neto
Pedro Neto	/en/players/7ba2eaa9/Pedro-Neto
Moussa Niakhate	/en/players/00242715/Moussa-Niakhate
Eddie Nketiah	/en/players/a53649b7/Eddie-Nketiah
Oliver Norwood	/en/players/43439614/Oliver-Norwood
Matheus Nunes	/en/players/e6af02e0/Matheus-Nunes
Matheus Nunes	/en/players/e6af02e0/Matheus-Nunes
Darwin N\xc3\xba\xc3\xb1ez	/en/players/4d77b365/Darwin-Nunez
Christian N\xc3\xb8rgaard	/en/players/df0a4c90/Christian-Norgaard
Dara O\'Shea	/en/players/1d042188/Dara-OShea
Michael Obafemi	/en/players/caa1a7f0/Michael-Obafemi
Wilson Odobert	/en/players/35516eac/Wilson-Odobert
Chiedozie Ogbene	/en/players/788c0277/Chiedozie-Ogbene
Angelo Ogbonna	/en/players/74b2cd7e/Angelo-Ogbonna
Michael Olakigbe	/en/players/cdd70dc0/Michael-Olakigbe
Michael Olise	/en/players/c4486bac/Michael-Olise
Robin Olsen	/en/players/e7ee38c3/Robin-Olsen
Amadou Onana	/en/players/828657ff/Amadou-Onana
Andr\xc3\xa9 Onana	/en/players/e9c0c1b2/Andre-Onana
Ryan One	/en/players/d4aa4582/Ryan-One
Tyler Onyango	/en/players/d86a1f3e/Tyler-Onyango
Frank Onyeka	/en/players/2944f86f/Frank-Onyeka
Divock Origi	/en/players/43a166b4/Divock-Origi
Stefan Ortega	/en/players/c1242d4e/Stefan-Ortega
Ben Osborn	/en/players/79bc4c45/Ben-Osborn
Gabriel Osho	/en/players/cd889153/Gabriel-Osho
William Osula	/en/players/7b355808/William-Osula
Dango Ouattara	/en/players/2f9e4435/Dango-Ouattara
David Ozoh	/en/players/d00d45ab/David-Ozoh
Jo\xc3\xa3o Palhinha	/en/players/a78ff07f/Joao-Palhinha
Cole Palmer	/en/players/dc7f8a28/Cole-Palmer
Cole Palmer	/en/players/dc7f8a28/Cole-Palmer
Emerson Palmieri	/en/players/e0bc6fdc/Emerson-Palmieri
Lucas Paquet\xc3\xa1	/en/players/9b6f7fd5/Lucas-Paqueta
Ben Parkinson	/en/players/32163807/Ben-Parkinson
Thomas Partey	/en/players/529f49ab/Thomas-Partey
Nathan Patterson	/en/players/230f0471/Nathan-Patterson
Myles Peart-Harris	/en/players/ea1a5662/Myles-Peart-Harris
Sydie Peck	/en/players/767d9605/Sydie-Peck
Facundo Pellistri	/en/players/ac7e7b1c/Facundo-Pellistri
Andreas Pereira	/en/players/6639e500/Andreas-Pereira
Ivan Peri\xc5\xa1i\xc4\x87	/en/players/6fe90922/Ivan-Perisic
\xc4\x90or\xc4\x91e Petrovi\xc4\x87	/en/players/0cf321c8/Djordje-Petrovic
Kalvin Phillips	/en/players/4f565d77/Kalvin-Phillips
Jaden Philogene Bidace	/en/players/19f4d211/Jaden-Philogene-Bidace
Jordan Pickford	/en/players/4806ec67/Jordan-Pickford
Ethan Pinnock	/en/players/e541326e/Ethan-Pinnock
Nick Pope	/en/players/4b40d9ca/Nick-Pope
Pedro Porro	/en/players/27d0a506/Pedro-Porro
Jarrell Quansah	/en/players/4125cb98/Jarrell-Quansah
Ionu\xc8\x9b Radu	/en/players/67f649be/Ionut-Radu
Jesuran Rak Sakyi	/en/players/45685411/Jesuran-Rak-Sakyi
Aaron Ramsdale	/en/players/466fb2c5/Aaron-Ramsdale
Aaron Ramsey	/en/players/e1618c22/Aaron-Ramsey
Jacob Ramsey	/en/players/1544f145/Jacob-Ramsey
Marcus Rashford	/en/players/a1d5bd30/Marcus-Rashford
David Raya	/en/players/98ea5115/David-Raya
Tim Ream	/en/players/28b40c9c/Tim-Ream
Nathan Redmond	/en/players/ab651565/Nathan-Redmond
Harrison Reed	/en/players/803ae100/Harrison-Reed
Sergio Reguil\xc3\xb3n	/en/players/3353737a/Sergio-Reguilon
Bobby Reid	/en/players/0f7533cd/Bobby-Reid
Declan Rice	/en/players/1c7012b8/Declan-Rice
Chris Richards	/en/players/0a3d6d2b/Chris-Richards
Richarlison	/en/players/fa031b34/Richarlison
Ja\xc3\xafro Riedewald	/en/players/7a1f2c08/Jairo-Riedewald
Matt Ritchie	/en/players/71ef519e/Matt-Ritchie
Connor Roberts	/en/players/24fae784/Connor-Roberts
Andrew Robertson	/en/players/2e4f5f03/Andrew-Robertson
Antonee Robinson	/en/players/289601e6/Antonee-Robinson
Jack Robinson	/en/players/7399c7a8/Jack-Robinson
Rodri	/en/players/6434f10d/Rodri
Jay Rodriguez	/en/players/4ab53cdb/Jay-Rodriguez
Mads Roerslev	/en/players/57c94db2/Mads-Roerslev
Cristian Romero	/en/players/a3d94a58/Cristian-Romero
Joe Rothwell	/en/players/10a10454/Joe-Rothwell
Pelly Ruddock Mpanzu	/en/players/a9b1c319/Pelly-Ruddock-Mpanzu
Jos\xc3\xa9 S\xc3\xa1	/en/players/903b6e8b/Jose-Sa
Bukayo Saka	/en/players/bc7dc64d/Bukayo-Saka
Mohamed Salah	/en/players/e342ad68/Mohamed-Salah
William Saliba	/en/players/972aeb2a/William-Saliba
Albert Sambi Lokonga	/en/players/1b4f1169/Albert-Sambi-Lokonga
Davinson S\xc3\xa1nchez	/en/players/da7b447d/Davinson-Sanchez
Robert S\xc3\xa1nchez	/en/players/6a713852/Robert-Sanchez
Jadon Sancho	/en/players/dbf053da/Jadon-Sancho
Ibrahim Sangar\xc3\xa9	/en/players/bced0375/Ibrahim-Sangare
Andrey Santos	/en/players/dd745366/Andrey-Santos
Pablo Sarabia	/en/players/9744ff80/Pablo-Sarabia
Kevin Schade	/en/players/52afb588/Kevin-Schade
Fabian Sch\xc3\xa4r	/en/players/c8aa95da/Fabian-Schar
Jeffrey Schlupp	/en/players/3312f911/Jeffrey-Schlupp
Alex Scott	/en/players/104d0bb8/Alex-Scott
N\xc3\xa9lson Semedo	/en/players/d04b94db/Nelson-Semedo
Antoine Semenyo	/en/players/efd2ec23/Antoine-Semenyo
Marcos Senesi	/en/players/35141f4c/Marcos-Senesi
Luke Shaw	/en/players/9c94165b/Luke-Shaw
Bernardo Silva	/en/players/3eb22ec9/Bernardo-Silva
F\xc3\xa1bio Silva	/en/players/e7aa9d7c/Fabio-Silva
Thiago Silva	/en/players/86e7deaf/Thiago-Silva
Luis Sinisterra	/en/players/8e16dd48/Luis-Sinisterra
Oliver Skipp	/en/players/6250083a/Oliver-Skipp
Adam Smith	/en/players/20b104bc/Adam-Smith
Emile Smith Rowe	/en/players/17695062/Emile-Smith-Rowe
Dominic Solanke	/en/players/e77dc3b2/Dominic-Solanke
Manor Solomon	/en/players/886f9aac/Manor-Solomon
Tom\xc3\xa1\xc5\xa1 Sou\xc4\x8dek	/en/players/6613c819/Tomas-Soucek
Vinicius Souza	/en/players/6a8a7af8/Vinicius-Souza
Jason Steele	/en/players/28300a16/Jason-Steele
Raheem Sterling	/en/players/b400bde0/Raheem-Sterling
John Stones	/en/players/5eecec3d/John-Stones
Thomas Strakosha	/en/players/339fe0e8/Thomas-Strakosha
Dominik Szoboszlai	/en/players/934e1968/Dominik-Szoboszlai
Matt Targett	/en/players/e514ab62/Matt-Targett
James Tarkowski	/en/players/15ea812b/James-Tarkowski
Nuno Tavares	/en/players/a65c844b/Nuno-Tavares
